1,2025-10-21 01:37:38,whatsapp,,Santa Marta,41,CE,15591514,María Torres Ramírez,azitromicina,74,"Sí, Azitromicina 10g (Crema) – Stock: 448 unidades. Ubicación: Sede La Esperanza Pasto, Diagonal 142 No. 17-25 (Pasto). Actualizado: 2025-10-21.",553,1
2,2025-10-20 17:32:38,whatsapp,,Medellín,81,CE,98796599,Andrés López López,ibuprofeno,88,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",1029,1
3,2025-10-20 05:46:38,telefono,,Cartagena,54,CE,40216310,Felipe Rodríguez Rodríguez,metformina,89,"Sí, Metformina 125UI (Suspensión) – Stock: 446 unidades. Ubicación: Sede Norte Armenia, Carrera 50 No. 28-62 (Armenia). Actualizado: 2025-10-14.",656,1
4,2025-10-20 17:34:38,telefono,,Bogotá,62,TI,38368443,Laura López García,omeprazol,20,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",877,1
5,2025-10-21 00:21:38,whatsapp,,Neiva,33,CE,92749391,Sofía Gómez García,ibuprofeno,88,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",839,1
6,2025-10-20 15:06:38,telefono,27,Ibagué,35,CE,82713899,Camila Gómez Sánchez,clopidogrel,34,"Sí, Clopidogrel 20UI (Cápsula) – Stock: 262 unidades. Ubicación: Sede Sur Bogotá, Calle 67 No. 49-42 (Bogotá). Actualizado: 2025-10-05.",290,1
7,2025-10-20 15:03:38,web,,Pasto,69,CC,27593505,Ana García Rodríguez,salbutamol,101,"Sí, Salbutamol 850UI (Polvo) – Stock: 449 unidades. Ubicación: Sede La Esperanza Cali, Transversal 124 No. 28-52 (Cali). Actualizado: 2025-09-25.",395,1
8,2025-10-21 03:08:38,whatsapp,13,Villavicencio,74,CC,101186281,Carlos Pérez Sánchez,metformina,89,"Sí, Metformina 125UI (Suspensión) – Stock: 76 unidades. Ubicación: Sede Norte Popayán, Transversal 71 No. 6-1 (Popayán). Actualizado: 2025-10-17.",88,1
9,2025-10-20 09:55:38,web,34,Cúcuta,25,CE,27307181,Juan López López,clopidogrel,27,"Sí, Clopidogrel 750g (Jarabe) – Stock: 326 unidades. Ubicación: Sede Oriente Bogotá, Diagonal 122 No. 71-68 (Bogotá). Actualizado: 2025-10-07.",981,1
10,2025-10-20 14:21:38,web,,Pereira,90,CE,17598656,Camila López García,ampicilina,52,"Sí, Ampicilina 10ml (Crema) – Stock: 450 unidades. Ubicación: Sede Occidente Ibagué, Diagonal 12 No. 56-1 (Ibagué). Actualizado: 2025-10-12.",709,1
11,2025-10-20 09:31:38,web,,Barranquilla,24,CE,106996726,Sofía Rodríguez Torres,omeprazol,20,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",1037,1
12,2025-10-20 07:41:38,telefono,,Cali,86,CE,68348100,Laura Pérez Torres,diclofenaco,90,"Sí, Diclofenaco 750g (Polvo) – Stock: 450 unidades. Ubicación: Sede Occidente Pereira, Diagonal 103 No. 48-57 (Pereira). Actualizado: 2025-09-21.",1154,1
